Divisions	Files Generated	Time
1		10240		958.454000
2		5120		400.380000
4		2560		233.343000
5		2048		190.956000
8		1280		129.827000
10		1024		105.668000
16		640		78.899000
20		512		69.460000
32		320		56.858000
40		256		51.758000
64		160		44.724000
80		128		40.660000
128		80		36.694000
160		64		33.554000
256		40		31.434000
320		32		29.323000
512		20		27.442000
640		16		24.785000
1024		10		22.802000
1280		8		21.139000
2048		5		18.728000
2560		4		16.449000
5120		2		12.528000
10240		1		8.627000
