Divisions		Files Generated		Time
1		10240		809.774000
2		5120		359.175000
3		3414		238.702000
4		2560		194.535000
5		2048		166.884000
6		1707		147.336000
7		1463		139.348000
8		1280		126.611000
9		1138		120.675000
10		1024		115.167000
11		931		122.116000
12		854		107.667000
13		788		100.309000
14		732		104.654000
15		683		105.588000
16		640		108.705000
17		603		105.832000
18		569		104.781000
19		539		111.254000
20		512		84.565000
21		488		92.516000
22		466		91.812000
23		446		95.882000
24		427		90.240000
25		410		83.416000
26		394		82.268000
27		380		97.679000
28		366		70.686000
29		354		72.822000
30		342		72.002000
31		331		68.207000
32		320		71.581000
33		311		69.795000
34		302		74.040000
35		293		98.171000
36		285		97.934000
37		277		66.631000
38		270		77.361000
39		263		66.679000
40		256		60.306000
41		250		62.433000
42		244		69.122000
43		239		58.721000
44		233		62.210000
45		228		63.998000
46		223		69.894000
47		218		61.610000
48		214		65.780000
49		209		57.291000
50		205		57.725000
51		201		72.330000
52		197		88.364000
53		194		112.782000
54		190		112.541000
55		187		64.639000
56		183		61.856000
57		180		61.053000
58		177		61.215000
59		174		68.172000
60		171		61.940000
61		168		59.096000
62		166		61.698000
63		163		60.747000
64		160		59.554000
65		158		72.615000
66		156		61.187000
67		153		58.125000
68		151		58.849000
69		149		65.482000
70		147		61.604000
71		145		59.792000
72		143		58.746000
73		141		58.889000
74		139		58.618000
75		137		57.654000
76		135		58.554000
77		133		63.624000
78		132		58.624000
79		130		58.002000
80		128		53.854000
81		127		53.262000
82		125		54.012000
83		124		58.331000
84		122		54.309000
85		121		58.974000
86		120		54.544000
87		118		57.743000
88		117		53.921000
89		116		52.241000
90		114		53.149000
91		113		57.229000
92		112		52.459000
93		111		57.199000
94		109		53.173000
95		108		52.275000
96		107		52.350000
97		106		55.931000
98		105		52.955000
99		104		50.998000
100		103		51.296000
101		102		55.606000
102		101		51.751000
103		100		51.150000
104		99		51.380000
105		98		51.881000
106		97		51.749000
107		96		51.937000
108		95		49.949000
109		94		50.301000
110		94		49.950000
111		93		50.307000
112		92		49.374000
113		91		49.846000
114		90		49.072000
115		90		49.437000
116		89		53.726000
117		88		49.930000
118		87		52.896000
119		87		49.222000
120		86		52.047000
121		85		49.587000
122		84		52.650000
123		84		49.767000
124		83		44.377000
125		82		49.219000
126		82		44.678000
127		81		45.024000
128		80		42.807000
129		80		43.788000
130		79		47.647000
131		79		44.731000
132		78		45.535000
133		77		45.227000
134		77		45.133000
135		76		43.837000
136		76		43.994000
137		75		47.700000
138		75		44.554000
139		74		47.053000
140		74		44.485000
141		73		45.631000
142		73		48.231000
143		72		44.068000
144		72		46.764000
145		71		44.231000
146		71		44.754000
147		70		48.019000
148		70		44.247000
149		69		46.824000
150		69		43.976000
151		68		43.998000
152		68		44.994000
153		67		44.298000
154		67		43.656000
155		67		44.271000
156		66		44.736000
157		66		45.484000
158		65		45.393000
159		65		44.043000
160		64		39.771000
161		64		40.369000
162		64		39.467000
163		63		39.691000
164		63		41.497000
165		63		42.759000
166		62		39.880000
167		62		39.722000
168		61		39.634000
169		61		39.931000
170		61		40.276000
171		60		39.756000
172		60		39.721000
173		60		41.591000
174		59		40.428000
175		59		39.220000
176		59		39.402000
177		58		40.201000
178		58		39.422000
179		58		39.190000
180		57		38.912000
181		57		39.156000
182		57		39.590000
183		56		38.772000
184		56		39.011000
185		56		39.800000
186		56		42.095000
187		55		42.847000
188		55		49.835000
189		55		38.947000
190		54		38.610000
191		54		37.875000
192		54		37.923000
193		54		38.112000
194		53		38.404000
195		53		38.370000
196		53		39.368000
197		52		38.784000
198		52		39.501000
199		52		39.441000
200		52		38.655000
201		51		38.781000
202		51		38.482000
203		51		40.022000
204		51		39.098000
205		50		38.982000
206		50		41.281000
207		50		39.057000
208		50		38.992000
209		49		41.699000
210		49		40.862000
211		49		38.967000
212		49		39.101000
213		49		41.837000
214		48		37.835000
215		48		37.771000
216		48		40.896000
217		48		37.525000
218		47		33.141000
219		47		35.123000
220		47		33.062000
221		47		33.220000
222		47		34.923000
223		46		32.932000
224		46		33.961000
225		46		32.801000
226		46		32.798000
227		46		33.042000
228		45		33.036000
229		45		33.396000
230		45		33.154000
231		45		33.291000
232		45		33.042000
233		44		32.636000
234		44		35.244000
235		44		43.984000
236		44		32.645000
237		44		34.585000
238		44		32.798000
239		43		32.600000
240		43		34.458000
241		43		32.862000
242		43		32.906000
243		43		34.848000
244		42		32.710000
245		42		32.560000
246		42		32.903000
247		42		35.664000
248		42		32.826000
249		42		32.952000
250		41		34.582000
251		41		32.783000
252		41		32.620000
253		41		34.745000
254		41		33.528000
255		41		33.434000
256		40		32.621000
257		40		32.028000
258		40		32.107000
259		40		32.391000
260		40		32.371000
261		40		32.815000
262		40		32.491000
263		39		32.673000
264		39		32.720000
265		39		32.714000
266		39		34.319000
267		39		34.435000
268		39		32.883000
269		39		32.901000
270		38		32.112000
271		38		32.195000
272		38		32.378000
273		38		33.182000
274		38		32.834000
275		38		32.786000
276		38		32.766000
277		37		32.645000
278		37		32.523000
279		37		32.908000
280		37		32.728000
281		37		33.026000
282		37		32.757000
283		37		33.034000
284		37		33.011000
285		36		32.349000
286		36		32.586000
287		36		32.435000
288		36		32.636000
289		36		33.015000
290		36		32.867000
291		36		33.500000
292		36		32.563000
293		35		33.541000
294		35		33.370000
295		35		33.386000
296		35		33.276000
297		35		33.344000
298		35		33.745000
299		35		33.471000
300		35		33.347000
301		35		32.894000
302		34		32.182000
303		34		32.232000
304		34		32.861000
305		34		32.755000
306		34		32.693000
307		34		34.246000
308		34		32.825000
309		34		32.983000
310		34		34.357000
311		33		32.369000
312		33		32.372000
313		33		32.677000
314		33		33.921000
315		33		33.400000
316		33		34.530000
317		33		33.337000
318		33		33.093000
319		33		33.067000
320		32		29.532000
321		32		31.422000
322		32		29.895000
323		32		29.696000
324		32		31.470000
325		32		30.029000
326		32		31.164000
327		32		29.101000
328		32		29.220000
329		32		29.031000
330		32		29.719000
331		31		31.428000
332		31		29.568000
333		31		29.590000
334		31		29.597000
335		31		29.395000
336		31		29.241000
337		31		29.232000
338		31		29.402000
339		31		29.568000
340		31		31.293000
341		31		34.221000
342		30		35.232000
343		30		33.414000
344		30		33.304000
345		30		34.739000
346		30		34.172000
347		30		33.362000
348		30		35.363000
349		30		33.608000
350		30		33.349000
351		30		32.878000
352		30		32.941000
353		30		33.150000
354		29		33.131000
355		29		34.556000
356		29		32.950000
357		29		32.680000
358		29		33.427000
359		29		34.473000
360		29		34.570000
361		29		34.342000
362		29		34.187000
363		29		34.252000
364		29		34.196000
365		29		34.209000
366		28		33.610000
367		28		33.791000
368		28		34.016000
369		28		33.735000
370		28		33.711000
371		28		33.753000
372		28		33.603000
373		28		32.947000
374		28		32.978000
375		28		33.115000
376		28		34.627000
377		28		33.305000
378		28		33.020000
379		28		32.825000
380		27		32.880000
381		27		33.061000
382		27		32.691000
383		27		32.662000
384		27		32.719000
385		27		33.038000
386		27		32.983000
387		27		32.643000
388		27		34.459000
389		27		33.030000
390		27		32.934000
391		27		32.955000
392		27		33.725000
393		27		33.115000
394		26		32.807000
395		26		34.127000
396		26		32.595000
397		26		32.621000
398		26		32.608000
