Divisions		Files Generated		Time
5418		2		11.635000
5419		2		12.785000
5420		2		11.812000
5421		2		12.508000
5422		2		11.826000
5423		2		12.842000
5424		2		12.263000
5425		2		11.963000
5426		2		12.274000
5427		2		12.036000
5428		2		11.838000
5429		2		12.345000
5430		2		11.762000
5431		2		12.165000
5432		2		12.636000
5433		2		12.379000
5434		2		12.493000
5435		2		11.877000
5436		2		11.695000
5437		2		12.248000
5438		2		11.731000
5439		2		12.277000
5440		2		12.806000
5441		2		12.200000
5442		2		12.523000
5443		2		11.831000
5444		2		11.843000
5445		2		11.985000
5446		2		11.682000
5447		2		12.262000
5448		2		12.527000
5449		2		11.857000
5450		2		12.364000
5451		2		11.774000
5452		2		11.811000
5453		2		11.993000
5454		2		11.698000
5455		2		12.160000
5456		2		13.186000
5457		2		12.526000
5458		2		12.254000
5459		2		11.725000
5460		2		12.128000
5461		2		11.970000
5462		2		11.692000
5463		2		12.383000
5464		2		12.345000
5465		2		12.812000
5466		2		12.314000
5467		2		11.737000
5468		2		12.399000
5469		2		11.840000
5470		2		11.621000
5471		2		12.345000
5472		2		11.754000
5473		2		13.695000
5474		2		12.100000
5475		2		12.260000
5476		2		12.301000
5477		2		11.696000
5478		2		12.141000
5479		2		11.841000
5480		2		11.748000
5481		2		12.678000
5482		2		11.800000
5483		2		11.836000
5484		2		12.016000
5485		2		11.662000
5486		2		12.130000
5487		2		11.802000
5488		2		12.438000
5489		2		12.503000
5490		2		12.443000
5491		2		12.317000
5492		2		11.831000
5493		2		11.624000
5494		2		12.375000
5495		2		12.024000
5496		2		12.062000
5497		2		12.328000
5498		2		13.136000
5499		2		12.369000
5500		2		12.120000
5501		2		11.831000
5502		2		12.263000
5503		2		11.644000
5504		2		12.213000
5505		2		11.817000
5506		2		12.697000
5507		2		15.450000
5508		2		12.039000
5509		2		12.226000
5510		2		11.760000
5511		2		11.643000
5512		2		12.157000
5513		2		11.851000
5514		2		12.438000
5515		2		12.557000
5516		2		12.405000
5517		2		12.295000
5518		2		12.001000
5519		2		11.824000
5520		2		12.281000
5521		2		11.865000
5522		2		12.682000
5523		2		12.098000
5524		2		11.858000
5525		2		12.462000
5526		2		11.795000
5527		2		12.001000
5528		2		11.955000
5529		2		11.710000
5530		2		12.323000
5531		2		12.898000
5532		2		12.284000
5533		2		12.218000
5534		2		11.724000
5535		2		12.200000
5536		2		11.753000
5537		2		11.625000
5538		2		12.193000
5539		2		12.551000
5540		2		12.612000
5541		2		12.354000
5542		2		11.815000
5543		2		12.441000
5544		2		11.997000
5545		2		12.125000
5546		2		11.819000
5547		2		12.269000
5548		2		12.816000
5549		2		12.263000
5550		2		12.266000
5551		2		12.151000
5552		2		11.690000
5553		2		12.321000
5554		2		11.762000
5555		2		11.714000
5556		2		12.409000
5557		2		11.766000
5558		2		12.158000
5559		2		11.741000
5560		2		11.609000
5561		2		12.305000
5562		2		11.990000
5563		2		12.080000
5564		2		13.078000
5565		2		12.218000
5566		2		12.561000
5567		2		11.711000
5568		2		11.736000
5569		2		12.352000
5570		2		12.057000
5571		2		12.173000
5572		2		12.241000
5573		2		14.058000
5574		2		12.340000
5575		2		11.839000
5576		2		12.380000
5577		2		11.885000
5578		2		11.592000
5579		2		12.290000
5580		2		12.001000
5581		2		13.788000
5582		2		12.047000
5583		2		11.963000
5584		2		12.410000
5585		2		11.770000
5586		2		11.640000
5587		2		12.007000
5588		2		11.679000
5589		2		12.749000
5590		2		12.290000
5591		2		12.338000
5592		2		12.455000
5593		2		11.649000
5594		2		11.971000
5595		2		11.944000
5596		2		11.645000
5597		2		12.381000
5598		2		12.052000
5599		2		11.766000
5600		2		12.015000
5601		2		11.684000
5602		2		12.100000
5603		2		11.756000
5604		2		11.633000
5605		2		12.260000
5606		2		13.258000
5607		2		12.295000
5608		2		12.578000
5609		2		11.723000
5610		2		12.838000
5611		2		11.729000
5612		2		11.800000
5613		2		12.229000
5614		2		12.627000
5615		2		12.432000
5616		2		12.391000
5617		2		11.977000
5618		2		12.055000
5619		2		11.975000
5620		2		12.131000
5621		2		11.886000
5622		2		11.824000
5623		2		12.387000
5624		2		11.750000
5625		2		11.768000
5626		2		12.021000
5627		2		11.684000
5628		2		12.232000
5629		2		11.704000
5630		2		11.661000
5631		2		12.319000
5632		2		13.218000
5633		2		12.299000
5634		2		11.973000
5635		2		11.730000
5636		2		12.125000
5637		2		11.691000
5638		2		11.757000
5639		2		12.155000
5640		2		12.271000
5641		2		13.042000
5642		2		12.181000
5643		2		11.707000
5644		2		11.976000
5645		2		11.667000
5646		2		12.130000
5647		2		11.934000
5648		2		11.771000
5649		2		12.222000
5650		2		11.670000
5651		2		11.616000
5652		2		12.020000
5653		2		11.779000
5654		2		12.167000
5655		2		11.699000
5656		2		12.764000
5657		2		12.142000
5658		2		12.218000
5659		2		12.037000
5660		2		11.968000
5661		2		11.740000
