Divisions		Files Generated		Time
8950		2		12.757000
8951		2		12.439000
8952		2		12.224000
8953		2		12.513000
8954		2		12.441000
8955		2		12.709000
8956		2		12.290000
8957		2		12.117000
8958		2		12.617000
8959		2		12.067000
8960		2		11.850000
8961		2		12.249000
8962		2		12.072000
8963		2		12.113000
8964		2		12.092000
8965		2		12.276000
8966		2		12.293000
8967		2		12.143000
8968		2		12.101000
8969		2		12.072000
8970		2		12.034000
8971		2		12.407000
8972		2		12.015000
8973		2		12.043000
8974		2		12.382000
8975		2		12.097000
8976		2		12.564000
8977		2		12.433000
8978		2		12.913000
8979		2		12.832000
8980		2		12.053000
8981		2		12.791000
8982		2		12.471000
8983		2		12.384000
8984		2		12.652000
8985		2		12.698000
8986		2		12.968000
8987		2		12.697000
8988		2		12.453000
8989		2		13.038000
8990		2		12.673000
8991		2		13.398000
8992		2		12.698000
8993		2		12.438000
8994		2		12.937000
8995		2		12.794000
8996		2		12.969000
8997		2		12.432000
8998		2		12.722000
8999		2		12.988000
9000		2		12.461000
9001		2		12.849000
9002		2		12.506000
9003		2		12.427000
9004		2		12.930000
9005		2		12.429000
9006		2		12.758000
9007		2		12.685000
9008		2		12.350000
9009		2		12.833000
9010		2		12.712000
9011		2		12.632000
9012		2		12.435000
9013		2		12.371000
9014		2		12.581000
9015		2		12.377000
9016		2		12.554000
9017		2		12.440000
9018		2		12.357000
9019		2		12.590000
9020		2		12.441000
9021		2		12.552000
9022		2		12.565000
9023		2		12.403000
9024		2		12.664000
9025		2		12.460000
9026		2		12.538000
9027		2		12.577000
9028		2		12.457000
9029		2		12.693000
9030		2		12.531000
9031		2		12.850000
9032		2		13.027000
9033		2		12.416000
9034		2		13.212000
9035		2		12.524000
9036		2		12.761000
9037		2		13.100000
9038		2		12.969000
9039		2		13.420000
9040		2		12.974000
9041		2		12.588000
9042		2		13.002000
9043		2		12.886000
9044		2		13.223000
9045		2		13.002000
9046		2		12.626000
9047		2		13.042000
9048		2		13.152000
9049		2		13.036000
9050		2		12.472000
9051		2		13.140000
9052		2		12.962000
9053		2		13.024000
9054		2		13.123000
9055		2		13.131000
9056		2		12.780000
9057		2		12.706000
9058		2		12.682000
9059		2		12.676000
9060		2		12.774000
9061		2		12.838000
9062		2		12.528000
9063		2		13.102000
9064		2		12.518000
9065		2		12.496000
9066		2		12.703000
9067		2		12.640000
9068		2		12.530000
9069		2		12.555000
9070		2		12.496000
9071		2		12.876000
9072		2		12.484000
9073		2		12.632000
9074		2		12.541000
9075		2		12.509000
9076		2		12.590000
9077		2		12.547000
9078		2		12.574000
9079		2		12.713000
9080		2		12.440000
9081		2		12.585000
9082		2		12.506000
9083		2		12.457000
9084		2		12.516000
9085		2		12.490000
9086		2		12.595000
9087		2		12.662000
9088		2		12.666000
9089		2		12.395000
9090		2		12.509000
9091		2		12.583000
9092		2		12.578000
9093		2		12.635000
9094		2		12.513000
9095		2		12.407000
9096		2		12.627000
9097		2		12.438000
9098		2		12.756000
9099		2		12.547000
9100		2		12.495000
9101		2		12.566000
9102		2		12.451000
9103		2		12.570000
9104		2		12.427000
9105		2		12.381000
9106		2		12.603000
9107		2		12.450000
9108		2		12.603000
9109		2		12.538000
9110		2		12.439000
9111		2		12.647000
9112		2		12.494000
9113		2		12.968000
9114		2		12.444000
9115		2		12.417000
9116		2		13.067000
9117		2		12.474000
9118		2		13.073000
9119		2		12.532000
9120		2		12.981000
9121		2		13.049000
9122		2		12.386000
9123		2		13.090000
9124		2		12.469000
9125		2		12.365000
9126		2		13.061000
9127		2		12.630000
9128		2		13.049000
9129		2		12.440000
9130		2		12.379000
9131		2		12.932000
9132		2		12.433000
9133		2		13.018000
9134		2		12.417000
9135		2		12.389000
9136		2		12.896000
9137		2		12.357000
9138		2		13.017000
9139		2		12.410000
9140		2		12.369000
9141		2		12.968000
9142		2		12.376000
9143		2		13.033000
9144		2		12.522000
9145		2		12.507000
9146		2		12.982000
9147		2		12.514000
9148		2		13.065000
9149		2		12.532000
9150		2		12.572000
9151		2		12.969000
9152		2		12.437000
9153		2		13.076000
9154		2		12.516000
9155		2		12.553000
9156		2		13.007000
9157		2		12.489000
9158		2		13.138000
9159		2		12.457000
9160		2		12.485000
9161		2		12.963000
9162		2		12.386000
9163		2		12.996000
9164		2		12.455000
9165		2		12.444000
9166		2		12.948000
9167		2		12.382000
9168		2		12.513000
9169		2		12.462000
9170		2		12.376000
9171		2		12.549000
9172		2		12.336000
9173		2		12.525000
9174		2		12.380000
9175		2		14.620000
9176		2		12.578000
9177		2		12.377000
9178		2		12.844000
9179		2		12.407000
9180		2		12.465000
9181		2		12.774000
9182		2		12.334000
9183		2		13.247000
9184		2		12.364000
9185		2		12.332000
9186		2		12.826000
9187		2		12.350000
9188		2		12.815000
9189		2		12.493000
9190		2		12.323000
9191		2		14.920000
9192		2		12.373000
9193		2		12.534000
9194		2		12.388000
9195		2		12.732000
9196		2		12.697000
9197		2		12.658000
9198		2		12.749000
9199		2		12.877000
9200		2		13.139000
9201		2		35.171000
9202		2		12.690000
9203		2		16.799000
9204		2		12.697000
9205		2		16.477000
9206		2		19.278000
9207		2		12.452000
9208		2		20.295000
9209		2		12.497000
9210		2		18.267000
9211		2		12.601000
9212		2		38.354000
9213		2		12.494000
9214		2		12.587000
9215		2		12.526000
9216		2		12.461000
9217		2		12.768000
9218		2		12.505000
9219		2		12.522000
9220		2		12.542000
9221		2		12.462000
9222		2		12.565000
9223		2		12.471000
9224		2		12.468000
9225		2		12.839000
9226		2		12.432000
9227		2		13.005000
9228		2		12.427000
9229		2		12.423000
9230		2		12.575000
9231		2		12.473000
9232		2		12.626000
9233		2		12.695000
9234		2		12.431000
9235		2		12.685000
9236		2		12.481000
9237		2		12.651000
9238		2		12.524000
9239		2		12.509000
9240		2		12.762000
9241		2		12.683000
9242		2		12.927000
9243		2		12.588000
9244		2		12.737000
9245		2		12.994000
9246		2		12.799000
9247		2		12.773000
9248		2		12.632000
9249		2		12.769000
9250		2		12.998000
9251		2		12.700000
9252		2		12.950000
9253		2		12.803000
9254		2		12.851000
9255		2		13.030000
9256		2		12.460000
9257		2		13.146000
9258		2		12.771000
9259		2		13.025000
9260		2		12.661000
9261		2		12.573000
9262		2		12.804000
9263		2		12.483000
9264		2		12.590000
9265		2		12.719000
9266		2		12.479000
9267		2		12.607000
9268		2		12.511000
9269		2		12.574000
9270		2		12.508000
9271		2		12.425000
9272		2		12.642000
9273		2		12.667000
9274		2		12.478000
9275		2		12.505000
9276		2		12.346000
9277		2		12.562000
9278		2		12.424000
9279		2		12.380000
9280		2		12.667000
9281		2		12.624000
9282		2		12.562000
9283		2		12.428000
9284		2		12.375000
9285		2		12.794000
9286		2		12.423000
9287		2		12.599000
9288		2		12.473000
9289		2		12.650000
