Size		Time		Stack Size
344		0.083000		1378
345		0.083000		1382
346		0.087000		1386
347		0.085000		1390
348		0.085000		1394
349		0.085000		1398
350		0.087000		1402
351		0.087000		1406
352		0.087000		1410
353		0.088000		1414
354		0.089000		1418
355		0.090000		1422
356		0.090000		1426
357		0.090000		1430
358		0.091000		1434
359		0.091000		1438
360		0.092000		1442
361		0.092000		1446
362		0.094000		1450
363		0.093000		1454
364		0.095000		1458
365		0.094000		1462
366		0.095000		1466
367		0.095000		1470
368		0.095000		1474
369		0.099000		1478
370		0.111000		1482
371		0.132000		1486
372		0.132000		1490
373		0.132000		1494
374		0.133000		1498
375		0.134000		1502
376		0.134000		1506
377		0.134000		1510
378		0.126000		1514
379		0.111000		1518
380		0.102000		1522
381		0.102000		1526
382		0.103000		1530
383		0.103000		1534
384		0.103000		1538
385		0.105000		1542
386		0.105000		1546
387		0.105000		1550
388		0.106000		1554
389		0.107000		1558
390		0.107000		1562
391		0.107000		1566
392		0.108000		1570
393		0.108000		1574
394		0.108000		1578
395		0.109000		1582
396		0.109000		1586
397		0.110000		1590
398		0.111000		1594
399		0.111000		1598
400		0.111000		1602
401		0.111000		1606
402		0.112000		1610
403		0.113000		1614
404		0.114000		1618
405		0.114000		1622
406		0.114000		1626
407		0.122000		1630
408		0.132000		1634
409		0.132000		1638
410		0.126000		1642
411		0.117000		1646
412		0.117000		1650
413		0.117000		1654
414		0.117000		1658
415		0.118000		1662
416		0.119000		1666
417		0.120000		1670
418		0.120000		1674
419		0.120000		1678
420		0.121000		1682
421		0.121000		1686
422		0.128000		1690
423		0.122000		1694
424		0.123000		1698
425		0.146000		1702
426		0.181000		1706
427		0.210000		1710
428		0.144000		1714
429		0.151000		1718
430		0.137000		1722
431		0.135000		1726
432		0.147000		1730
433		0.148000		1734
434		0.148000		1738
435		0.148000		1742
436		0.148000		1746
437		0.149000		1750
438		0.137000		1754
439		0.147000		1758
440		0.141000		1762
441		0.132000		1766
442		0.140000		1770
443		0.152000		1774
444		0.154000		1778
445		0.154000		1782
446		0.154000		1786
447		0.154000		1790
448		0.156000		1794
449		0.148000		1798
450		0.137000		1802
451		0.137000		1806
452		0.143000		1810
453		0.164000		1814
454		0.175000		1818
455		0.171000		1822
456		0.158000		1826
457		0.180000		1830
458		0.178000		1834
459		0.174000		1838
460		0.175000		1842
461		0.188000		1846
462		0.176000		1850
463		0.177000		1854
464		0.178000		1858
465		0.178000		1862
466		0.178000		1866
467		0.179000		1870
468		0.180000		1874
469		0.173000		1878
470		0.164000		1882
471		0.164000		1886
472		0.164000		1890
473		0.166000		1894
474		0.173000		1898
475		0.192000		1902
476		0.169000		1906
477		0.169000		1910
478		0.165000		1914
479		0.163000		1918
480		0.169000		1922
481		0.170000		1926
482		0.170000		1930
483		0.171000		1934
484		0.171000		1938
485		0.172000		1942
486		0.172000		1946
487		0.172000		1950
488		0.173000		1954
489		0.175000		1958
490		0.175000		1962
491		0.176000		1966
492		0.169000		1970
493		0.161000		1974
494		0.169000		1978
495		0.174000		1982
496		0.169000		1986
497		0.179000		1990
498		0.180000		1994
499		0.181000		1998
500		0.176000		2002
501		0.169000		2006
502		0.169000		2010
503		0.168000		2014
504		0.170000		2018
505		0.171000		2022
506		0.170000		2026
507		0.173000		2030
508		0.186000		2034
509		0.183000		2038
510		0.193000		2042
511		0.194000		2046
512		0.194000		2050
513		0.196000		2054
514		0.197000		2058
515		0.187000		2062
516		0.179000		2066
517		0.181000		2070
518		0.187000		2074
519		0.196000		2078
520		0.196000		2082
521		0.191000		2086
522		0.192000		2090
523		0.198000		2094
524		0.200000		2098
525		0.201000		2102
526		0.202000		2106
527		0.202000		2110
528		0.189000		2114
529		0.190000		2118
530		0.190000		2122
531		0.191000		2126
532		0.190000		2130
533		0.200000		2134
534		0.210000		2138
535		0.212000		2142
536		0.213000		2146
537		0.209000		2150
538		0.210000		2154
539		0.210000		2158
540		0.211000		2162
541		0.215000		2166
542		0.211000		2170
543		0.212000		2174
544		0.213000		2178
545		0.214000		2182
546		0.216000		2186
547		0.249000		2190
548		0.217000		2194
549		0.219000		2198
550		0.218000		2202
551		0.220000		2206
552		0.220000		2210
553		0.221000		2214
554		0.222000		2218
555		0.222000		2222
556		0.223000		2226
557		0.224000		2230
558		0.226000		2234
559		0.224000		2238
560		0.224000		2242
561		0.225000		2246
562		0.225000		2250
563		0.225000		2254
564		0.226000		2258
565		0.226000		2262
566		0.227000		2266
567		0.227000		2270
568		0.228000		2274
569		0.229000		2278
570		0.230000		2282
571		0.230000		2286
572		0.231000		2290
573		0.232000		2294
574		0.232000		2298
575		0.236000		2302
576		0.235000		2306
577		0.236000		2310
578		0.236000		2314
579		0.237000		2318
580		0.238000		2322
581		0.238000		2326
582		0.238000		2330
583		0.239000		2334
584		0.240000		2338
585		0.241000		2342
586		0.241000		2346
587		0.255000		2350
588		0.229000		2354
589		0.249000		2358
590		0.247000		2362
591		0.245000		2366
592		0.245000		2370
593		0.246000		2374
594		0.247000		2378
595		0.247000		2382
596		0.249000		2386
597		0.264000		2390
598		0.239000		2394
599		0.249000		2398
600		0.259000		2402
601		0.259000		2406
602		0.265000		2410
603		0.260000		2414
604		0.256000		2418
605		0.257000		2422
606		0.260000		2426
607		0.258000		2430
608		0.259000		2434
609		0.259000		2438
610		0.260000		2442
611		0.261000		2446
612		0.261000		2450
613		0.262000		2454
614		0.294000		2458
615		0.263000		2462
616		0.264000		2466
617		0.265000		2470
618		0.267000		2474
619		0.267000		2478
620		0.267000		2482
621		0.270000		2486
622		0.269000		2490
623		0.269000		2494
624		0.269000		2498
625		0.271000		2502
626		0.271000		2506
627		0.272000		2510
628		0.273000		2514
629		0.272000		2518
630		0.271000		2522
631		0.264000		2526
632		0.274000		2530
633		0.276000		2534
634		0.275000		2538
635		0.278000		2542
636		0.288000		2546
637		0.283000		2550
638		0.286000		2554
639		0.287000		2558
640		0.289000		2562
641		0.285000		2566
642		0.286000		2570
643		0.287000		2574
644		0.286000		2578
645		0.287000		2582
646		0.302000		2586
647		0.278000		2590
648		0.294000		2594
649		0.292000		2598
650		0.293000		2602
651		0.295000		2606
652		0.294000		2610
653		0.295000		2614
654		0.296000		2618
655		0.297000		2622
656		0.298000		2626
657		0.298000		2630
658		0.316000		2634
659		0.290000		2638
660		0.295000		2642
661		0.307000		2646
662		0.308000		2650
663		0.308000		2654
664		0.304000		2658
665		0.305000		2662
666		0.306000		2666
667		0.306000		2670
668		0.306000		2674
669		0.307000		2678
670		0.340000		2682
671		0.309000		2686
672		0.309000		2690
673		0.311000		2694
674		0.317000		2698
675		0.315000		2702
676		0.314000		2706
677		0.316000		2710
678		0.316000		2714
679		0.318000		2718
680		0.318000		2722
681		0.319000		2726
682		0.320000		2730
683		0.322000		2734
684		0.323000		2738
685		0.323000		2742
686		0.325000		2746
687		0.325000		2750
688		0.326000		2754
689		0.383000		2758
690		0.474000		2762
691		0.340000		2766
692		0.347000		2770
693		0.328000		2774
694		0.327000		2778
695		0.380000		2782
696		0.386000		2786
697		0.337000		2790
698		0.327000		2794
699		0.330000		2798
700		0.409000		2802
701		0.390000		2806
702		0.337000		2810
703		0.337000		2814
704		0.340000		2818
705		0.352000		2822
706		0.370000		2826
707		0.387000		2830
708		0.355000		2834
709		0.388000		2838
710		0.334000		2842
711		0.336000		2846
712		0.337000		2850
713		0.338000		2854
714		0.338000		2858
715		0.338000		2862
716		0.339000		2866
717		0.379000		2870
718		0.335000		2874
719		0.380000		2878
720		0.357000		2882
721		0.359000		2886
722		0.360000		2890
723		0.360000		2894
724		0.361000		2898
725		0.361000		2902
726		0.413000		2906
727		0.438000		2910
728		0.367000		2914
729		0.405000		2918
730		0.382000		2922
731		0.366000		2926
732		0.366000		2930
733		0.367000		2934
734		0.368000		2938
735		0.370000		2942
736		0.368000		2946
737		0.370000		2950
738		0.372000		2954
739		0.372000		2958
740		0.387000		2962
741		0.416000		2966
742		0.377000		2970
743		0.376000		2974
744		0.418000		2978
745		0.424000		2982
746		0.390000		2986
747		0.390000		2990
748		0.392000		2994
749		0.397000		2998
750		0.407000		3002
751		0.419000		3006
752		0.451000		3010
753		0.417000		3014
754		0.401000		3018
755		0.401000		3022
756		0.404000		3026
757		0.407000		3030
758		0.404000		3034
759		0.456000		3038
760		0.405000		3042
761		0.405000		3046
762		0.416000		3050
763		0.397000		3054
764		0.397000		3058
765		0.397000		3062
766		0.399000		3066
767		0.400000		3070
768		0.406000		3074
769		0.403000		3078
770		0.404000		3082
771		0.405000		3086
772		0.406000		3090
773		0.406000		3094
774		0.408000		3098
775		0.409000		3102
776		0.410000		3106
777		0.411000		3110
778		0.418000		3114
779		0.414000		3118
780		0.453000		3122
781		0.429000		3126
782		0.418000		3130
783		0.418000		3134
784		0.418000		3138
785		0.419000		3142
786		0.419000		3146
787		0.426000		3150
788		0.421000		3154
789		0.418000		3158
790		0.499000		3162
791		0.471000		3166
792		0.429000		3170
793		0.430000		3174
794		0.431000		3178
795		0.431000		3182
796		0.440000		3186
797		0.443000		3190
798		0.428000		3194
799		0.429000		3198
800		0.501000		3202
801		0.447000		3206
802		0.437000		3210
803		0.438000		3214
804		0.431000		3218
805		0.444000		3222
806		0.432000		3226
807		0.434000		3230
808		0.435000		3234
809		0.435000		3238
810		0.438000		3242
811		0.440000		3246
812		0.442000		3250
813		0.443000		3254
814		0.444000		3258
815		0.445000		3262
816		0.469000		3266
817		0.466000		3270
818		0.444000		3274
819		0.444000		3278
820		0.449000		3282
821		0.450000		3286
822		0.453000		3290
823		0.452000		3294
824		0.453000		3298
825		0.454000		3302
826		0.553000		3306
827		0.499000		3310
828		0.462000		3314
829		0.463000		3318
830		0.471000		3322
831		0.467000		3326
832		0.469000		3330
833		0.491000		3334
834		0.463000		3338
835		0.463000		3342
836		0.466000		3346
837		0.468000		3350
838		0.465000		3354
839		0.473000		3358
840		0.471000		3362
841		0.472000		3366
842		0.469000		3370
843		0.469000		3374
844		0.473000		3378
845		0.474000		3382
846		0.476000		3386
847		0.476000		3390
848		0.476000		3394
849		0.480000		3398
850		0.516000		3402
851		0.486000		3406
852		0.481000		3410
853		0.484000		3414
854		0.488000		3418
855		0.490000		3422
856		0.492000		3426
857		0.492000		3430
858		0.499000		3434
859		0.578000		3438
860		0.496000		3442
861		0.499000		3446
862		0.509000		3450
863		0.497000		3454
864		0.570000		3458
865		0.499000		3462
866		0.544000		3466
867		0.509000		3470
868		0.501000		3474
869		0.501000		3478
870		0.503000		3482
871		0.502000		3486
872		0.505000		3490
873		0.505000		3494
874		0.504000		3498
875		0.505000		3502
876		0.508000		3506
877		0.508000		3510
878		0.510000		3514
879		0.510000		3518
880		0.511000		3522
881		0.531000		3526
882		0.551000		3530
883		0.514000		3534
884		0.513000		3538
885		0.517000		3542
886		0.516000		3546
887		0.516000		3550
888		0.516000		3554
889		0.517000		3558
890		0.635000		3562
891		0.565000		3566
892		0.531000		3570
893		0.523000		3574
894		0.524000		3578
895		0.525000		3582
896		0.527000		3586
897		0.525000		3590
898		0.537000		3594
899		0.527000		3598
900		0.530000		3602
901		0.529000		3606
902		0.532000		3610
903		0.533000		3614
904		0.538000		3618
905		0.539000		3622
906		0.536000		3626
907		0.544000		3630
908		0.541000		3634
909		0.540000		3638
910		0.542000		3642
911		0.563000		3646
912		0.545000		3650
913		0.546000		3654
914		0.548000		3658
915		0.547000		3662
916		0.549000		3666
917		0.549000		3670
918		0.551000		3674
919		0.660000		3678
920		0.701000		3682
921		0.882000		3686
922		0.894000		3690
923		0.901000		3694
924		0.666000		3698
925		0.639000		3702
926		0.575000		3706
927		0.564000		3710
928		0.570000		3714
929		0.568000		3718
930		0.570000		3722
931		0.575000		3726
932		0.564000		3730
933		0.580000		3734
934		0.568000		3738
935		0.569000		3742
936		0.592000		3746
937		0.570000		3750
938		0.570000		3754
939		0.576000		3758
940		0.573000		3762
941		0.573000		3766
942		0.574000		3770
943		0.574000		3774
944		0.576000		3778
945		0.579000		3782
946		0.587000		3786
947		0.581000		3790
948		0.583000		3794
949		0.583000		3798
950		0.583000		3802
951		0.585000		3806
952		0.596000		3810
953		0.663000		3814
954		0.645000		3818
955		0.601000		3822
956		0.602000		3826
957		0.605000		3830
958		0.605000		3834
959		0.643000		3838
960		0.584000		3842
961		0.586000		3846
962		0.586000		3850
963		0.586000		3854
964		0.650000		3858
965		0.588000		3862
966		0.613000		3866
967		0.589000		3870
968		0.590000		3874
969		0.592000		3878
970		0.595000		3882
971		0.655000		3886
972		0.625000		3890
973		0.615000		3894
974		0.603000		3898
975		0.602000		3902
976		0.603000		3906
977		0.603000		3910
978		0.607000		3914
979		0.604000		3918
980		0.655000		3922
981		0.606000		3926
982		0.606000		3930
983		0.606000		3934
984		0.608000		3938
985		0.632000		3942
986		0.615000		3946
987		0.611000		3950
988		0.612000		3954
989		0.614000		3958
990		0.615000		3962
991		0.641000		3966
992		0.619000		3970
993		0.619000		3974
994		0.621000		3978
995		0.622000		3982
996		0.625000		3986
997		0.669000		3990
998		0.731000		3994
999		0.628000		3998
1000		0.629000		4002
1001		0.629000		4006
1002		0.630000		4010
1003		0.657000		4014
1004		0.654000		4018
1005		0.654000		4022
1006		0.656000		4026
1007		0.637000		4030
1008		0.639000		4034
1009		0.662000		4038
1010		0.641000		4042
1011		0.640000		4046
1012		0.642000		4050
1013		0.664000		4054
1014		0.664000		4058
1015		0.701000		4062
1016		0.666000		4066
1017		0.671000		4070
1018		0.674000		4074
1019		0.788000		4078
1020		0.700000		4082
1021		0.740000		4086
1022		0.770000		4090
1023		0.662000		4094
1024		0.660000		4098
1025		0.660000		4102
1026		0.661000		4106
1027		0.679000		4110
1028		0.656000		4114
1029		0.667000		4118
1030		0.689000		4122
1031		0.655000		4126
1032		0.659000		4130
1033		0.657000		4134
1034		0.659000		4138
1035		0.661000		4142
1036		0.663000		4146
1037		0.662000		4150
1038		0.665000		4154
1039		0.665000		4158
1040		0.665000		4162
1041		0.668000		4166
1042		0.671000		4170
1043		0.672000		4174
1044		0.675000		4178
1045		0.675000		4182
1046		0.675000		4186
1047		0.679000		4190
1048		0.681000		4194
1049		0.681000		4198
1050		0.687000		4202
1051		0.683000		4206
1052		0.686000		4210
1053		0.687000		4214
1054		0.733000		4218
1055		0.690000		4222
1056		0.693000		4226
1057		0.693000		4230
1058		0.695000		4234
1059		0.697000		4238
1060		0.697000		4242
1061		0.701000		4246
1062		0.700000		4250
1063		0.743000		4254
1064		0.813000		4258
1065		0.716000		4262
1066		0.774000		4266
1067		0.729000		4270
1068		0.744000		4274
1069		0.727000		4278
1070		0.751000		4282
1071		0.731000		4286
1072		0.737000		4290
1073		0.735000		4294
1074		0.736000		4298
1075		0.739000		4302
1076		0.767000		4306
1077		0.745000		4310
1078		0.742000		4314
1079		0.745000		4318
1080		0.747000		4322
1081		0.748000		4326
1082		0.751000		4330
1083		0.752000		4334
1084		0.753000		4338
1085		0.755000		4342
1086		0.755000		4346
1087		0.757000		4350
1088		0.761000		4354
1089		0.759000		4358
1090		0.762000		4362
1091		0.764000		4366
1092		0.767000		4370
1093		0.762000		4374
1094		0.749000		4378
1095		0.749000		4382
1096		0.750000		4386
1097		0.751000		4390
1098		0.777000		4394
1099		0.755000		4398
1100		0.755000		4402
1101		0.758000		4406
1102		0.759000		4410
1103		0.780000		4414
1104		0.759000		4418
1105		0.909000		4422
1106		0.766000		4426
1107		0.930000		4430
1108		0.803000		4434
1109		0.779000		4438
1110		0.764000		4442
1111		0.766000		4446
1112		0.766000		4450
1113		0.790000		4454
1114		0.772000		4458
1115		0.769000		4462
1116		0.771000		4466
1117		0.774000		4470
1118		0.797000		4474
1119		0.821000		4478
1120		0.779000		4482
1121		0.782000		4486
1122		0.784000		4490
1123		0.788000		4494
1124		0.787000		4498
1125		0.789000		4502
1126		0.791000		4506
1127		0.792000		4510
1128		0.796000		4514
1129		0.796000		4518
1130		0.796000		4522
1131		0.799000		4526
1132		0.801000		4530
1133		0.805000		4534
1134		0.803000		4538
1135		0.805000		4542
1136		0.805000		4546
1137		0.806000		4550
1138		0.812000		4554
1139		0.813000		4558
1140		0.813000		4562
1141		0.814000		4566
1142		0.816000		4570
1143		0.972000		4574
1144		0.834000		4578
1145		0.957000		4582
1146		0.834000		4586
1147		0.823000		4590
1148		0.820000		4594
1149		0.821000		4598
1150		0.823000		4602
1151		0.824000		4606
1152		0.898000		4610
1153		0.849000		4614
1154		0.867000		4618
1155		0.851000		4622
1156		0.854000		4626
1157		0.855000		4630
1158		0.903000		4634
1159		0.839000		4638
1160		0.839000		4642
1161		0.906000		4646
1162		0.862000		4650
1163		0.874000		4654
1164		0.825000		4658
1165		0.826000		4662
1166		0.828000		4666
1167		0.828000		4670
1168		0.840000		4674
1169		0.831000		4678
1170		0.835000		4682
1171		0.835000		4686
1172		0.835000		4690
1173		0.837000		4694
1174		0.839000		4698
1175		0.861000		4702
1176		0.841000		4706
1177		0.843000		4710
1178		0.883000		4714
1179		1.146000		4718
1180		0.924000		4722
1181		0.906000		4726
1182		0.892000		4730
1183		0.899000		4734
1184		0.895000		4738
1185		0.896000		4742
1186		0.897000		4746
1187		0.898000		4750
1188		0.977000		4754
1189		0.906000		4758
1190		0.907000		4762
1191		0.904000		4766
1192		0.909000		4770
1193		0.906000		4774
1194		0.909000		4778
1195		0.910000		4782
1196		0.922000		4786
1197		0.894000		4790
1198		0.939000		4794
1199		0.898000		4798
1200		0.901000		4802
1201		0.928000		4806
1202		0.903000		4810
1203		0.904000		4814
1204		0.906000		4818
1205		0.908000		4822
1206		0.907000		4826
1207		0.909000		4830
1208		0.910000		4834
1209		0.915000		4838
1210		0.917000		4842
1211		0.917000		4846
1212		1.073000		4850
1213		1.013000		4854
1214		1.020000		4858
1215		0.957000		4862
