Size		Time		Stack Size
1		0.001000		6
2		0.001000		10
3		0.001000		14
4		0.000000		18
5		0.000000		22
6		0.000000		26
7		0.000000		30
8		0.000000		34
9		0.001000		38
10		0.000000		42
11		0.000000		46
12		0.000000		50
13		0.000000		54
14		0.000000		58
15		0.001000		62
16		0.001000		66
17		0.000000		70
18		0.001000		74
19		0.001000		78
20		0.000000		82
21		0.001000		86
22		0.000000		90
23		0.000000		94
24		0.001000		98
25		0.001000		102
26		0.001000		106
27		0.000000		110
28		0.000000		114
29		0.000000		118
30		0.001000		122
31		0.000000		126
32		0.001000		130
33		0.001000		134
34		0.001000		138
35		0.001000		142
36		0.000000		146
37		0.001000		150
38		0.001000		154
39		0.001000		158
40		0.001000		162
41		0.001000		166
42		0.001000		170
43		0.001000		174
44		0.001000		178
45		0.000000		182
46		0.001000		186
47		0.000000		190
48		0.001000		194
49		0.001000		198
50		0.001000		202
51		0.001000		206
52		0.001000		210
53		0.001000		214
54		0.001000		218
55		0.001000		222
56		0.001000		226
57		0.001000		230
58		0.001000		234
59		0.001000		238
60		0.001000		242
61		0.001000		246
62		0.001000		250
63		0.001000		254
64		0.001000		258
65		0.001000		262
66		0.001000		266
67		0.001000		270
68		0.001000		274
69		0.001000		278
70		0.001000		282
71		0.001000		286
72		0.002000		290
73		0.002000		294
74		0.001000		298
75		0.002000		302
76		0.002000		306
77		0.001000		310
78		0.002000		314
79		0.001000		318
80		0.002000		322
81		0.001000		326
82		0.002000		330
83		0.001000		334
84		0.002000		338
85		0.001000		342
86		0.002000		346
87		0.002000		350
88		0.002000		354
89		0.002000		358
90		0.001000		362
91		0.002000		366
92		0.002000		370
93		0.002000		374
94		0.002000		378
95		0.002000		382
96		0.002000		386
97		0.002000		390
98		0.002000		394
99		0.002000		398
100		0.007000		402
101		0.007000		406
102		0.006000		410
103		0.008000		414
104		0.006000		418
105		0.007000		422
106		0.006000		426
107		0.008000		430
108		0.008000		434
109		0.008000		438
110		0.007000		442
111		0.009000		446
112		0.007000		450
113		0.008000		454
114		0.008000		458
115		0.007000		462
116		0.007000		466
117		0.008000		470
118		0.008000		474
119		0.009000		478
120		0.009000		482
121		0.009000		486
122		0.008000		490
123		0.009000		494
124		0.009000		498
125		0.009000		502
126		0.011000		506
127		0.010000		510
128		0.011000		514
129		0.010000		518
130		0.009000		522
131		0.010000		526
132		0.010000		530
133		0.010000		534
134		0.010000		538
135		0.010000		542
136		0.011000		546
137		0.011000		550
138		0.011000		554
139		0.011000		558
140		0.012000		562
141		0.011000		566
142		0.011000		570
143		0.012000		574
144		0.011000		578
145		0.010000		582
146		0.011000		586
147		0.011000		590
148		0.011000		594
149		0.012000		598
150		0.016000		602
151		0.015000		606
152		0.015000		610
153		0.015000		614
154		0.015000		618
155		0.014000		622
156		0.015000		626
157		0.015000		630
158		0.015000		634
159		0.015000		638
160		0.016000		642
161		0.015000		646
162		0.015000		650
163		0.015000		654
164		0.016000		658
165		0.016000		662
166		0.015000		666
167		0.016000		670
168		0.016000		674
169		0.017000		678
170		0.017000		682
171		0.017000		686
172		0.018000		690
173		0.018000		694
174		0.018000		698
175		0.018000		702
176		0.019000		706
177		0.019000		710
178		0.019000		714
179		0.019000		718
180		0.019000		722
181		0.019000		726
182		0.019000		730
183		0.019000		734
184		0.019000		738
185		0.020000		742
186		0.020000		746
187		0.020000		750
188		0.020000		754
189		0.021000		758
190		0.032000		762
191		0.018000		766
192		0.018000		770
193		0.018000		774
194		0.019000		778
195		0.019000		782
196		0.019000		786
197		0.019000		790
198		0.019000		794
199		0.019000		798
200		0.022000		802
201		0.023000		806
202		0.023000		810
203		0.022000		814
204		0.023000		818
205		0.023000		822
206		0.023000		826
207		0.023000		830
208		0.023000		834
209		0.023000		838
210		0.024000		842
211		0.024000		846
212		0.023000		850
213		0.024000		854
214		0.024000		858
215		0.024000		862
216		0.025000		866
217		0.024000		870
218		0.026000		874
219		0.025000		878
220		0.025000		882
221		0.026000		886
222		0.026000		890
223		0.025000		894
224		0.026000		898
225		0.026000		902
