Size		Time		Stack Size
1		0.000000		6
2		0.000000		10
3		0.000000		14
4		0.000000		18
5		0.000000		22
6		0.000000		26
7		0.000000		30
8		0.000000		34
9		0.000000		38
10		0.000000		42
11		0.000000		46
12		0.000000		50
13		0.000000		54
14		0.000000		58
15		0.000000		62
16		0.000000		66
17		0.000000		70
18		0.000000		74
19		0.000000		78
20		0.001000		82
21		0.001000		86
22		0.000000		90
23		0.001000		94
24		0.000000		98
25		0.001000		102
26		0.001000		106
27		0.001000		110
28		0.001000		114
29		0.001000		118
30		0.002000		122
31		0.002000		126
32		0.002000		130
33		0.002000		134
34		0.001000		138
35		0.001000		142
36		0.002000		146
37		0.002000		150
38		0.002000		154
39		0.001000		158
40		0.002000		162
41		0.002000		166
42		0.003000		170
43		0.002000		174
44		0.002000		178
45		0.002000		182
46		0.003000		186
47		0.003000		190
48		0.003000		194
49		0.003000		198
50		0.003000		202
51		0.003000		206
52		0.003000		210
53		0.003000		214
54		0.003000		218
55		0.003000		222
56		0.004000		226
57		0.004000		230
58		0.004000		234
59		0.004000		238
60		0.005000		242
61		0.004000		246
62		0.004000		250
63		0.004000		254
64		0.004000		258
65		0.004000		262
66		0.004000		266
67		0.004000		270
68		0.004000		274
69		0.004000		278
70		0.006000		282
71		0.005000		286
72		0.006000		290
73		0.005000		294
74		0.006000		298
75		0.006000		302
76		0.005000		306
77		0.006000		310
78		0.006000		314
79		0.006000		318
80		0.007000		322
81		0.006000		326
82		0.007000		330
83		0.006000		334
84		0.006000		338
85		0.007000		342
86		0.007000		346
87		0.007000		350
88		0.008000		354
89		0.007000		358
90		0.008000		362
91		0.008000		366
92		0.009000		370
93		0.007000		374
94		0.007000		378
95		0.008000		382
96		0.008000		386
97		0.008000		390
98		0.009000		394
99		0.008000		398
100		0.009000		402
101		0.009000		406
102		0.010000		410
103		0.009000		414
104		0.009000		418
105		0.009000		422
106		0.010000		426
107		0.010000		430
108		0.010000		434
109		0.010000		438
110		0.012000		442
111		0.012000		446
112		0.011000		450
113		0.012000		454
114		0.012000		458
115		0.013000		462
116		0.012000		466
117		0.012000		470
118		0.012000		474
119		0.018000		478
120		0.013000		482
121		0.013000		486
122		0.013000		490
123		0.013000		494
124		0.013000		498
125		0.013000		502
126		0.013000		506
127		0.013000		510
128		0.014000		514
129		0.013000		518
130		0.016000		522
131		0.015000		526
132		0.016000		530
133		0.016000		534
134		0.016000		538
135		0.016000		542
136		0.016000		546
137		0.016000		550
138		0.017000		554
139		0.025000		558
140		0.015000		562
141		0.015000		566
142		0.015000		570
143		0.016000		574
144		0.015000		578
145		0.015000		582
146		0.015000		586
147		0.015000		590
148		0.015000		594
149		0.016000		598
150		0.016000		602
151		0.016000		606
152		0.016000		610
153		0.017000		614
154		0.017000		618
155		0.017000		622
156		0.017000		626
157		0.017000		630
158		0.017000		634
159		0.017000		638
160		0.019000		642
161		0.019000		646
162		0.019000		650
163		0.019000		654
164		0.019000		658
165		0.019000		662
166		0.020000		666
167		0.019000		670
168		0.020000		674
169		0.020000		678
170		0.020000		682
171		0.021000		686
172		0.020000		690
173		0.021000		694
174		0.021000		698
175		0.021000		702
176		0.021000		706
177		0.023000		710
178		0.022000		714
179		0.022000		718
180		0.022000		722
181		0.021000		726
182		0.022000		730
183		0.021000		734
184		0.021000		738
185		0.021000		742
186		0.022000		746
187		0.023000		750
188		0.022000		754
189		0.023000		758
190		0.028000		762
191		0.027000		766
192		0.027000		770
193		0.028000		774
194		0.028000		778
195		0.028000		782
196		0.028000		786
197		0.028000		790
198		0.029000		794
199		0.029000		798
200		0.029000		802
201		0.029000		806
202		0.029000		810
203		0.029000		814
204		0.029000		818
205		0.030000		822
206		0.030000		826
207		0.030000		830
208		0.031000		834
209		0.031000		838
210		0.029000		842
211		0.029000		846
212		0.029000		850
213		0.029000		854
214		0.030000		858
215		0.031000		862
216		0.031000		866
217		0.031000		870
218		0.031000		874
219		0.031000		878
220		0.036000		882
221		0.036000		886
222		0.035000		890
223		0.036000		894
224		0.036000		898
225		0.036000		902
226		0.036000		906
227		0.037000		910
228		0.037000		914
229		0.036000		918
230		0.035000		922
231		0.035000		926
232		0.035000		930
233		0.035000		934
234		0.035000		938
235		0.035000		942
236		0.035000		946
237		0.036000		950
238		0.037000		954
239		0.037000		958
240		0.040000		962
241		0.050000		966
242		0.042000		970
243		0.050000		974
244		0.042000		978
245		0.043000		982
246		0.043000		986
247		0.043000		990
248		0.043000		994
249		0.062000		998
250		0.057000		1002
251		0.054000		1006
252		0.043000		1010
253		0.043000		1014
254		0.043000		1018
255		0.043000		1022
256		0.043000		1026
257		0.044000		1030
258		0.054000		1034
259		0.068000		1038
260		0.069000		1042
261		0.071000		1046
262		0.057000		1050
263		0.062000		1054
264		0.046000		1058
265		0.045000		1062
266		0.046000		1066
267		0.046000		1070
268		0.046000		1074
269		0.047000		1078
270		0.050000		1082
271		0.050000		1086
272		0.051000		1090
273		0.050000		1094
274		0.051000		1098
275		0.052000		1102
276		0.051000		1106
277		0.051000		1110
278		0.052000		1114
279		0.053000		1118
280		0.053000		1122
281		0.053000		1126
282		0.054000		1130
283		0.054000		1134
284		0.054000		1138
285		0.055000		1142
286		0.056000		1146
287		0.056000		1150
288		0.057000		1154
289		0.056000		1158
290		0.052000		1162
291		0.052000		1166
292		0.052000		1170
293		0.052000		1174
294		0.053000		1178
295		0.054000		1182
296		0.054000		1186
297		0.055000		1190
298		0.056000		1194
299		0.056000		1198
300		0.059000		1202
301		0.059000		1206
302		0.060000		1210
303		0.059000		1214
304		0.060000		1218
305		0.065000		1222
306		0.061000		1226
307		0.062000		1230
308		0.061000		1234
309		0.063000		1238
310		0.065000		1242
311		0.065000		1246
312		0.065000		1250
313		0.066000		1254
314		0.081000		1258
315		0.067000		1262
316		0.067000		1266
317		0.068000		1270
318		0.069000		1274
319		0.069000		1278
320		0.071000		1282
321		0.072000		1286
322		0.073000		1290
323		0.073000		1294
324		0.073000		1298
325		0.074000		1302
326		0.075000		1306
327		0.075000		1310
328		0.075000		1314
329		0.076000		1318
330		0.070000		1322
331		0.071000		1326
332		0.071000		1330
333		0.071000		1334
334		0.074000		1338
335		0.072000		1342
336		0.073000		1346
337		0.073000		1350
338		0.092000		1354
339		0.073000		1358
340		0.079000		1362
341		0.078000		1366
342		0.078000		1370
343		0.079000		1374
344		0.079000		1378
345		0.080000		1382
346		0.080000		1386
347		0.081000		1390
348		0.081000		1394
349		0.081000		1398
350		0.080000		1402
351		0.080000		1406
352		0.081000		1410
353		0.081000		1414
354		0.081000		1418
355		0.082000		1422
356		0.082000		1426
357		0.082000		1430
358		0.083000		1434
359		0.082000		1438
360		0.091000		1442
361		0.085000		1446
362		0.090000		1450
363		0.084000		1454
364		0.085000		1458
365		0.084000		1462
366		0.085000		1466
367		0.086000		1470
368		0.085000		1474
369		0.086000		1478
370		0.089000		1482
371		0.096000		1486
372		0.087000		1490
373		0.087000		1494
374		0.087000		1498
375		0.088000		1502
376		0.088000		1506
377		0.089000		1510
378		0.089000		1514
379		0.090000		1518
380		0.095000		1522
381		0.104000		1526
382		0.098000		1530
383		0.099000		1534
384		0.099000		1538
385		0.100000		1542
386		0.100000		1546
387		0.101000		1550
388		0.101000		1554
389		0.103000		1558
390		0.101000		1562
391		0.099000		1566
392		0.099000		1570
393		0.099000		1574
394		0.100000		1578
395		0.100000		1582
396		0.101000		1586
397		0.101000		1590
398		0.102000		1594
399		0.101000		1598
400		0.108000		1602
401		0.114000		1606
402		0.108000		1610
403		0.109000		1614
404		0.109000		1618
405		0.110000		1622
406		0.111000		1626
407		0.112000		1630
408		0.112000		1634
409		0.112000		1638
410		0.107000		1642
411		0.107000		1646
412		0.107000		1650
413		0.107000		1654
414		0.108000		1658
415		0.109000		1662
416		0.110000		1666
417		0.111000		1670
418		0.111000		1674
419		0.121000		1678
420		0.114000		1682
421		0.114000		1686
422		0.114000		1690
423		0.115000		1694
424		0.114000		1698
425		0.116000		1702
426		0.116000		1706
427		0.116000		1710
428		0.117000		1714
429		0.117000		1718
